,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ
484,0.0,0.0,31.0,73.0,13.0,36.0,17.0,0,0,2.0
485,0.0,0.0,99.0,442.0,45.0,124.0,67.0,0,0,1.0
486,0.0,0.0,13.0,26.0,5.0,21.0,13.0,0,0,0.0
487,0.0,0.0,83.0,317.0,49.0,101.0,62.0,0,0,0.0
488,0.0,0.0,26.0,173.0,3.0,42.0,19.0,0,0,0.0
489,0.0,0.0,32.0,112.0,15.0,38.0,25.0,0,0,0.0
490,0.0,0.0,31.0,76.0,18.0,44.0,26.0,0,0,0.0
491,0.0,0.0,43.0,60.0,19.0,35.0,22.0,0,0,0.0
492,0.0,0.0,61.0,159.0,39.0,73.0,46.0,0,0,2.0
493,0.0,0.0,24.0,55.0,9.0,33.0,27.0,0,0,0.0
494,0.0,0.0,44.0,164.0,24.0,50.0,39.0,0,0,0.0
495,0.0,0.0,224.375,504.0,62.0,288.875,137.5,0,0,2.0
496,0.0,0.0,88.0,349.0,44.0,88.0,46.0,0,0,0.0
497,0.0,0.0,34.0,134.0,36.0,28.0,25.0,0,0,0.0
498,0.0,0.0,95.0,308.0,41.0,155.0,104.0,0,0,1.0
499,0.0,0.0,180.0,684.375,116.875,181.0,96.0,0,0,6.0
500,0.0,0.0,54.0,236.0,30.0,66.0,44.0,0,0,0.0
501,0.0,0.0,35.0,133.0,38.0,50.0,33.0,0,0,0.0
502,0.0,0.0,33.0,250.0,41.0,34.0,29.0,0,0,0.0
503,0.0,0.0,121.0,500.0,83.0,193.0,126.0,0,0,1.0
504,0.0,0.0,74.0,300.0,70.0,109.0,63.0,0,0,0.0
505,0.0,0.0,113.0,165.0,18.0,111.0,71.0,0,0,0.0
506,0.0,0.0,169.0,438.0,41.0,242.0,137.5,0,0,0.0
507,0.0,0.0,127.0,433.0,116.875,182.0,137.5,0,0,3.0
508,0.0,0.0,200.0,542.0,98.0,288.875,137.5,0,0,0.0
509,0.0,0.0,84.0,245.0,35.0,146.0,80.0,0,0,1.0
510,0.0,0.0,100.0,376.0,96.0,123.0,71.0,0,0,1.0
511,0.0,0.0,131.0,298.0,68.0,122.0,84.0,0,0,2.0
512,0.0,0.0,77.0,185.0,15.0,98.0,48.0,0,0,0.0
513,0.0,0.0,15.0,32.0,4.0,21.0,17.0,0,0,0.0
514,0.0,0.0,24.0,122.0,41.0,52.0,41.0,0,0,0.0
515,0.0,0.0,38.0,98.0,17.0,38.0,17.0,0,0,0.0
516,0.0,0.0,39.0,234.0,13.0,55.0,38.0,0,0,0.0
517,0.0,0.0,13.0,61.0,14.0,16.0,14.0,0,0,0.0
